Kind,Name,File,Cyclomatic,CountLineCodeExe
Static Function,"calc_state_hash",git\compat\regex\regex_internal.c,2,4
Static Function,"calculate_changed_submodule_paths",git\submodule.c,5,29
Static Function,"call_unpack_fn",git\unpack-trees.c,2,4
Static Function,"canon_mode",git\cache.h,5,7
Static Function,"canonicalize_ceiling_entry",git\setup.c,5,16
Struct,"cascade_filter",git\convert.c,,0
Static Function,"cascade_filter",git\convert.c,3,10
Static Function,"cascade_filter_fn",git\convert.c,11,41
Static Function,"cascade_free_fn",git\convert.c,1,4
File,"cat-file.c",git\builtin\cat-file.c,,201
Static Function,"cat_blob",git\fast-import.c,6,32
Static Function,"cat_blob_write",git\fast-import.c,2,2
Static Function,"cat_one_file",git\builtin\cat-file.c,21,59
Static Function,"cc_callback",git\builtin\log.c,2,5
Static Function,"cd_to_homedir",git\shell.c,3,5
Static Function,"ce_compare_data",git\read-cache.c,3,6
Static Function,"ce_compare_gitlink",git\read-cache.c,2,3
